Index;delivery_id;delivery_partner;package_type;vehicle_type;delivery_mode;region;weather_condition;distance_km;package_weight_kg;delivery_date;expected_time_hours;delayed;delivery_status;delivery_rating;delivery_cost
80;DLV-00080;xpressbees;pharmacy;bike;express;south;hot;56.0;22.91;10/09/2024;3;yes;delayed;2;398.73
81;DLV-00081;ecom express;clothing;scooter;same day;east;stormy;70.7;5.72;18/10/2024;8;yes;delayed;3;470.66
82;DLV-00082;dhl;documents;bike;same day;east;rainy;60.4;22.93;21/06/2024;6;no;delivered;5;470.79
83;DLV-00083;blue dart;clothing;truck;same day;central;stormy;258.4;22.08;21/10/2024;9;yes;failed;2;1458.24
84;DLV-00084;amazon logistics;furniture;scooter;two day;central;cold;89.3;34.98;11/07/2024;4;no;delivered;4;551.44
85;DLV-00085;shadowfax;electronics;van;two day;south;clear;244.0;13.62;20/02/2024;7;no;delivered;4;1260.86
86;DLV-00086;xpressbees;electronics;truck;standard;south;stormy;87.8;19.77;20/09/2024;8;no;delivered;4;498.31
87;DLV-00087;delhivery;furniture;scooter;same day;east;stormy;3.6;20.7;12/07/2024;3;no;delivered;4;172.6
88;DLV-00088;ekart;furniture;van;two day;south;cold;3.6;8.75;26/02/2024;0;no;delivered;3;95.6674
89;DLV-00089;xpressbees;documents;van;standard;east;rainy;111.0;36.68;29/01/2024;9;no;delivered;4;665.04
90;DLV-00090;amazon logistics;groceries;bike;express;east;rainy;256.4;33.53;11/06/2024;11;yes;delayed;3;1432.59
91;DLV-00091;dhl;groceries;ev van;same day;east;foggy;177.9;20.16;26/01/2024;7;no;delivered;5;1049.98
92;DLV-00092;amazon logistics;cosmetics;ev van;two day;east;rainy;204.2;8.09;15/05/2024;9;no;delivered;4;1045.27
93;DLV-00093;amazon logistics;furniture;ev bike;standard;central;cold;125.0;39.41;05/06/2024;4;no;delivered;5;743.23
94;DLV-00094;dhl;fragile items;bike;two day;north;hot;83.3;34.71;21/04/2024;4;no;delivered;4;520.63
95;DLV-00095;ecom express;clothing;van;standard;west;foggy;193.2;33.28;08/07/2024;7;no;delivered;4;1065.84
96;DLV-00096;ekart;clothing;van;two day;east;foggy;174.3;47.29;07/01/2024;10;no;delivered;5;1013.37
97;DLV-00097;ekart;groceries;bike;same day;west;clear;11.4;40.22;05/05/2024;1;no;delivered;5;277.66
98;DLV-00098;xpressbees;electronics;ev van;express;east;clear;166.4;44.96;06/12/2024;6;yes;delayed;2;1016.88
99;DLV-00099;shadowfax;cosmetics;van;standard;west;stormy;189.6;38.07;11/04/2024;11;no;delivered;5;1062.21
100;DLV-00100;blue dart;groceries;truck;express;west;stormy;111.2;37.33;04/09/2024;6;yes;delayed;2;717.99
101;DLV-00101;amazon logistics;groceries;ev bike;same day;west;hot;103.2;37.97;16/06/2024;4;no;delivered;5;729.91
102;DLV-00102;blue dart;furniture;scooter;standard;east;clear;236.4;47.28;12/12/2024;9;no;delivered;4;1323.84
103;DLV-00103;amazon logistics;electronics;van;same day;central;clear;111.9;26.34;07/11/2024;5;no;delivered;5;738.52
104;DLV-00104;delhivery;groceries;ev van;standard;south;stormy;86.6;20.64;19/07/2024;8;no;delivered;5;494.92
105;DLV-00105;amazon logistics;automobile parts;ev bike;standard;west;clear;235.6;48.07;19/08/2024;5;no;delivered;5;1322.21
106;DLV-00106;amazon logistics;pharmacy;truck;same day;south;cold;295.5;48.45;18/08/2024;6;no;delivered;4;1632.7205999999999
107;DLV-00107;amazon logistics;pharmacy;truck;two day;west;foggy;56.3;43.65;28/01/2024;5;no;delivered;5;412.45
108;DLV-00108;shadowfax;furniture;bike;two day;central;stormy;114.2;28.82;10/04/2024;6;no;delivered;5;657.46
109;DLV-00109;fedex;furniture;scooter;same day;north;hot;3.6;31.41;17/10/2024;2;no;delivered;4;203.23
110;DLV-00110;xpressbees;automobile parts;bike;same day;west;stormy;146.2;22.55;06/11/2024;9;yes;failed;2;898.65
111;DLV-00111;ekart;automobile parts;ev bike;same day;east;clear;85.6;10.69;19/01/2024;3;no;delivered;4;560.07
112;DLV-00112;amazon logistics;groceries;ev van;express;south;rainy;247.9;5.23;08/10/2024;9;yes;failed;2;1305.19
113;DLV-00113;shadowfax;automobile parts;bike;standard;south;foggy;274.8;0.82;02/11/2024;9;no;delivered;4;1376.46
114;DLV-00114;fedex;electronics;scooter;standard;west;clear;35.7;10.8;28/07/2024;3;no;delivered;3;210.9
115;DLV-00115;fedex;documents;van;express;central;stormy;259.3;27.01;08/01/2024;8;yes;failed;1;1427.53
116;DLV-00116;shadowfax;documents;ev bike;same day;south;clear;65.3;45.09;03/10/2024;4;no;delivered;5;561.77
117;DLV-00117;delhivery;cosmetics;van;express;south;clear;93.1;20.89;10/09/2024;2;no;delivered;3;578.17
118;DLV-00118;blue dart;pharmacy;bike;standard;central;hot;265.8;32.11;29/01/2024;9;no;delivered;5;1425.33
119;DLV-00119;ekart;furniture;truck;two day;west;clear;110.2;23.24;24/06/2024;4;no;delivered;4;620.72
120;DLV-00120;blue dart;documents;bike;standard;west;clear;6.0;0.88;26/04/2024;1;no;delivered;4;95.6674
121;DLV-00121;dhl;furniture;truck;two day;east;foggy;16.5;21.49;07/07/2024;2;no;delivered;4;146.97
122;DLV-00122;xpressbees;documents;ev van;standard;north;cold;102.0;18.67;02/04/2024;4;no;delivered;4;566.01
123;DLV-00123;shadowfax;furniture;bike;express;north;rainy;265.4;15.96;28/04/2024;13;yes;delayed;3;1424.88
124;DLV-00124;fedex;groceries;ev van;two day;north;foggy;27.5;15.43;21/12/2024;2;no;delivered;5;183.79
125;DLV-00125;amazon logistics;fragile items;truck;two day;south;hot;59.5;7.79;24/02/2024;2;no;delivered;3;320.87
126;DLV-00126;shadowfax;cosmetics;bike;express;north;cold;290.2;29.26;10/01/2024;6;no;delivered;4;1588.78
127;DLV-00127;delhivery;clothing;scooter;standard;east;rainy;124.0;40.2;16/01/2024;8;no;delivered;4;740.6
128;DLV-00128;xpressbees;automobile parts;scooter;two day;north;clear;261.9;41.68;15/02/2024;9;no;delivered;4;1434.54
129;DLV-00129;shadowfax;pharmacy;ev van;two day;central;rainy;115.6;13.57;18/02/2024;8;no;delivered;5;618.71
130;DLV-00130;shadowfax;groceries;ev bike;express;east;hot;156.0;14.49;08/05/2024;2;no;delivered;3;873.47
131;DLV-00131;shadowfax;furniture;van;standard;north;foggy;284.1;14.35;17/11/2024;9;no;delivered;4;1463.55
132;DLV-00132;fedex;clothing;truck;same day;north;cold;287.0;8.21;09/09/2024;10;yes;failed;1;1559.63
133;DLV-00133;delhivery;electronics;van;two day;north;foggy;50.5;31.28;21/07/2024;2;no;delivered;4;346.34
134;DLV-00134;shadowfax;groceries;van;two day;west;foggy;203.3;7.5;15/02/2024;7;no;delivered;4;1039.0
135;DLV-00135;amazon logistics;fragile items;truck;same day;west;hot;127.8;20.03;20/07/2024;2;no;delivered;3;799.09
136;DLV-00136;ekart;groceries;scooter;two day;east;cold;45.8;27.22;18/05/2024;1;no;delivered;5;310.66
137;DLV-00137;shadowfax;groceries;ev bike;same day;west;hot;8.7;33.93;17/03/2024;0;no;delivered;5;245.29
138;DLV-00138;delhivery;automobile parts;ev van;standard;north;rainy;152.8;48.37;07/10/2024;6;no;delivered;4;909.11
139;DLV-00139;dhl;automobile parts;ev van;same day;south;rainy;29.0;40.89;26/10/2024;5;no;delivered;4;367.67
140;DLV-00140;dhl;furniture;scooter;standard;north;clear;281.6;19.81;18/11/2024;8;no;delivered;3;1467.43
141;DLV-00141;ecom express;electronics;van;same day;east;stormy;75.7;41.47;08/06/2024;8;yes;delayed;2;602.91
142;DLV-00142;blue dart;cosmetics;scooter;standard;north;cold;132.5;14.18;21/04/2024;3;no;delivered;4;705.04
143;DLV-00143;ekart;cosmetics;truck;standard;west;rainy;218.2;34.0;27/09/2024;10;no;delivered;5;1193.0
144;DLV-00144;dhl;automobile parts;scooter;express;east;rainy;152.8;10.46;01/10/2024;8;yes;delayed;2;845.38
145;DLV-00145;ecom express;automobile parts;van;same day;west;cold;113.8;21.95;30/04/2024;4;no;delivered;3;734.85
146;DLV-00146;amazon logistics;pharmacy;bike;standard;east;clear;189.3;30.78;19/04/2024;7;no;delivered;5;1038.84
147;DLV-00147;delhivery;electronics;truck;two day;north;rainy;60.1;40.63;11/03/2024;5;no;delivered;3;422.39
148;DLV-00148;ekart;documents;truck;same day;south;foggy;147.7;46.57;15/12/2024;6;no;delivered;4;978.21
149;DLV-00149;amazon logistics;cosmetics;truck;two day;north;cold;289.0;48.99;09/11/2024;6;no;delivered;4;1591.97
150;DLV-00150;delhivery;pharmacy;van;express;north;cold;235.6;42.35;16/01/2024;7;yes;delayed;3;1355.05
151;DLV-00151;amazon logistics;groceries;ev bike;same day;central;cold;101.1;9.76;30/10/2024;4;no;delivered;4;634.78
152;DLV-00152;ekart;groceries;truck;two day;central;cold;273.9;42.56;01/09/2024;6;no;delivered;3;1497.18
153;DLV-00153;ecom express;cosmetics;scooter;standard;north;clear;262.6;29.36;22/12/2024;4;no;delivered;4;1401.08
154;DLV-00154;ekart;groceries;van;two day;east;clear;82.2;18.81;16/02/2024;2;no;delivered;3;467.43
155;DLV-00155;dhl;clothing;truck;same day;south;cold;280.3;15.29;17/10/2024;7;no;delivered;4;1547.37
156;DLV-00156;shadowfax;automobile parts;bike;same day;east;foggy;146.1;36.12;17/07/2024;8;yes;delayed;2;938.86
157;DLV-00157;blue dart;groceries;van;same day;west;clear;279.9;21.63;25/05/2024;12;yes;failed;2;1564.39
158;DLV-00158;shadowfax;documents;ev van;same day;south;stormy;165.4;43.2;15/04/2024;11;yes;delayed;2;1056.6
159;DLV-00159;fedex;electronics;van;two day;central;cold;29.9;47.31;11/02/2024;2;no;delivered;3;291.43
160;DLV-00160;amazon logistics;furniture;truck;standard;north;hot;42.6;44.55;24/06/2024;1;no;delivered;4;346.65
161;DLV-00161;ecom express;automobile parts;ev bike;standard;east;foggy;149.9;23.31;01/02/2024;10;no;delivered;4;819.43
162;DLV-00162;shadowfax;clothing;scooter;standard;west;rainy;8.4;44.16;11/03/2024;4;no;delivered;4;174.48
163;DLV-00163;dhl;documents;ev bike;two day;east;hot;230.8;30.01;24/05/2024;6;no;delivered;4;1244.03
164;DLV-00164;dhl;clothing;bike;express;west;clear;93.0;9.37;06/03/2024;2;no;delivered;4;543.11
165;DLV-00165;dhl;electronics;van;two day;west;clear;10.4;4.59;17/08/2024;1;no;delivered;4;95.6674
166;DLV-00166;amazon logistics;pharmacy;truck;two day;north;hot;194.9;2.42;30/10/2024;4;no;delivered;4;981.76
167;DLV-00167;ekart;documents;scooter;express;west;rainy;182.1;2.26;10/09/2024;11;yes;delayed;2;967.28
168;DLV-00168;blue dart;cosmetics;ev bike;standard;south;clear;38.8;40.89;19/10/2024;3;no;delivered;4;316.67
169;DLV-00169;dhl;groceries;bike;two day;north;cold;55.2;6.78;10/10/2024;1;no;delivered;3;296.34
170;DLV-00170;delhivery;pharmacy;truck;express;east;stormy;223.3;44.36;17/03/2024;12;yes;failed;1;1299.58
171;DLV-00171;delhivery;electronics;truck;express;west;hot;46.2;14.83;22/11/2024;2;no;delivered;5;325.49
172;DLV-00172;delhivery;documents;ev bike;two day;south;hot;3.6;49.52;29/05/2024;1;no;delivered;5;163.39
173;DLV-00173;xpressbees;groceries;scooter;express;north;hot;297.1;22.0;16/05/2024;5;no;delivered;5;1615.5
174;DLV-00174;xpressbees;electronics;bike;express;central;hot;87.8;7.72;01/02/2024;3;no;delivered;5;512.16
175;DLV-00175;xpressbees;groceries;truck;express;central;hot;267.4;11.53;17/02/2024;9;yes;delayed;2;1421.59
176;DLV-00176;fedex;furniture;ev van;two day;east;stormy;124.8;10.84;09/06/2024;10;no;delivered;4;656.52
177;DLV-00177;xpressbees;groceries;ev bike;express;south;clear;288.9;8.3;16/03/2024;6;no;delivered;4;1519.4
178;DLV-00178;blue dart;furniture;scooter;two day;central;hot;129.5;39.84;27/07/2024;4;no;delivered;4;767.02
179;DLV-00179;ecom express;fragile items;van;same day;south;foggy;225.0;7.32;05/07/2024;11;yes;delayed;3;1246.96
180;DLV-00180;fedex;cosmetics;scooter;standard;south;stormy;289.7;24.36;10/12/2024;14;no;delivered;5;1521.58
181;DLV-00181;ecom express;electronics;ev bike;standard;south;rainy;85.4;41.07;06/11/2024;7;no;delivered;4;550.21
182;DLV-00182;blue dart;pharmacy;truck;same day;east;hot;9.9;30.24;13/06/2024;0;no;delivered;3;240.22
183;DLV-00183;fedex;automobile parts;van;standard;west;hot;135.1;37.59;12/08/2024;4;no;delivered;5;788.27
184;DLV-00184;xpressbees;fragile items;bike;standard;south;stormy;228.6;5.64;15/07/2024;9;no;delivered;4;1159.92
185;DLV-00185;fedex;documents;truck;express;north;rainy;169.6;41.44;31/03/2024;9;yes;delayed;3;1022.32
186;DLV-00186;fedex;fragile items;van;express;central;foggy;250.7;29.97;17/01/2024;10;yes;failed;2;1393.41
187;DLV-00187;blue dart;fragile items;bike;two day;north;rainy;80.7;0.67;28/04/2024;7;no;delivered;4;404.76
188;DLV-00188;dhl;groceries;scooter;two day;east;stormy;21.3;41.19;30/08/2024;7;no;delivered;3;230.07
189;DLV-00189;ekart;fragile items;ev bike;two day;north;clear;67.1;32.91;01/04/2024;2;no;delivered;4;434.23
190;DLV-00190;ekart;pharmacy;ev bike;standard;west;foggy;69.4;0.99;17/08/2024;5;no;delivered;3;349.97
191;DLV-00191;xpressbees;cosmetics;van;two day;south;cold;101.2;39.37;20/07/2024;2;no;delivered;5;624.11
192;DLV-00192;shadowfax;cosmetics;ev bike;two day;north;rainy;94.2;49.37;14/08/2024;5;no;delivered;4;619.11
193;DLV-00193;shadowfax;fragile items;ev bike;same day;north;foggy;71.0;32.56;30/01/2024;5;no;delivered;3;552.68
194;DLV-00194;dhl;automobile parts;truck;two day;east;foggy;37.4;42.36;09/06/2024;3;no;delivered;4;314.08
195;DLV-00195;ecom express;fragile items;scooter;two day;north;cold;157.0;43.03;22/02/2024;3;no;delivered;4;914.09
196;DLV-00196;delhivery;groceries;van;same day;east;cold;213.7;49.52;19/08/2024;5;no;delivered;5;1317.81
197;DLV-00197;dhl;pharmacy;ev bike;express;central;cold;272.6;12.84;13/03/2024;8;yes;delayed;2;1451.52
198;DLV-00198;blue dart;pharmacy;scooter;express;south;stormy;83.5;24.02;16/09/2024;7;yes;delayed;2;539.56
199;DLV-00199;dhl;fragile items;truck;express;central;foggy;198.5;20.1;25/07/2024;4;no;delivered;5;1102.8
200;DLV-00200;ecom express;groceries;ev bike;express;west;hot;158.7;35.06;28/03/2024;6;yes;failed;2;948.68
201;DLV-00201;dhl;documents;truck;same day;north;clear;265.3;31.8;18/03/2024;5;no;delivered;5;1521.9
202;DLV-00202;ecom express;cosmetics;truck;express;east;stormy;208.8;22.83;06/02/2024;9;yes;delayed;2;1162.49
203;DLV-00203;fedex;automobile parts;scooter;express;east;rainy;55.7;46.5;03/12/2024;3;yes;failed;1;468.0
204;DLV-00204;xpressbees;automobile parts;van;standard;east;foggy;80.6;45.16;10/05/2024;4;no;delivered;3;538.48
205;DLV-00205;fedex;clothing;bike;same day;east;stormy;187.7;6.69;15/04/2024;13;yes;delayed;3;1058.57
206;DLV-00206;ekart;automobile parts;bike;standard;south;foggy;225.6;22.83;03/10/2024;9;no;delivered;5;1196.49
207;DLV-00207;xpressbees;fragile items;truck;express;east;rainy;24.5;0.67;14/11/2024;5;yes;delayed;2;174.12
208;DLV-00208;ecom express;clothing;scooter;standard;west;rainy;194.3;29.51;30/07/2024;6;no;delivered;4;1060.03
209;DLV-00209;ekart;electronics;van;express;central;foggy;52.0;43.18;12/07/2024;6;yes;delayed;3;439.54
210;DLV-00210;amazon logistics;clothing;van;same day;north;clear;282.9;31.33;23/09/2024;8;yes;delayed;2;1608.49
211;DLV-00211;ekart;automobile parts;van;same day;north;cold;289.2;16.14;17/06/2024;9;yes;failed;1;1594.42
212;DLV-00212;xpressbees;cosmetics;ev bike;standard;east;cold;257.9;45.92;31/05/2024;5;no;delivered;3;1427.26
213;DLV-00213;amazon logistics;pharmacy;van;same day;east;hot;258.3;42.79;26/09/2024;12;yes;delayed;2;1519.87
214;DLV-00214;fedex;pharmacy;ev van;express;central;rainy;288.4;44.12;27/03/2024;9;yes;delayed;2;1624.36
215;DLV-00215;xpressbees;groceries;van;express;east;hot;86.5;37.04;08/10/2024;3;no;delivered;4;593.62
216;DLV-00216;ekart;automobile parts;ev van;same day;south;stormy;157.3;4.51;15/09/2024;9;yes;delayed;2;900.03
217;DLV-00217;delhivery;clothing;ev van;standard;central;rainy;41.0;29.25;09/11/2024;6;no;delivered;5;292.75
218;DLV-00218;delhivery;documents;van;standard;central;foggy;137.4;27.87;14/01/2024;7;no;delivered;3;770.61
219;DLV-00219;fedex;clothing;ev bike;standard;north;clear;32.3;46.58;08/09/2024;1;no;delivered;4;301.24
220;DLV-00220;ecom express;fragile items;van;express;central;clear;207.8;40.12;01/12/2024;6;yes;delayed;2;1209.36
221;DLV-00221;blue dart;furniture;ev van;standard;south;foggy;23.6;12.4;29/01/2024;3;no;delivered;4;155.2
222;DLV-00222;fedex;cosmetics;ev bike;standard;south;clear;258.0;37.92;06/01/2024;8;no;delivered;4;1403.76
223;DLV-00223;xpressbees;automobile parts;van;same day;north;cold;255.6;18.93;29/03/2024;7;no;delivered;5;1434.79
224;DLV-00224;blue dart;clothing;scooter;standard;north;cold;289.7;19.13;25/09/2024;5;no;delivered;5;1505.89
225;DLV-00225;xpressbees;automobile parts;ev van;express;north;rainy;9.1;45.65;17/06/2024;5;yes;delayed;3;232.45
226;DLV-00226;ekart;clothing;truck;standard;west;foggy;245.8;4.19;31/01/2024;5;no;delivered;5;1241.57
227;DLV-00227;amazon logistics;cosmetics;ev bike;two day;central;hot;88.6;8.67;06/10/2024;3;no;delivered;3;469.01
228;DLV-00228;shadowfax;cosmetics;ev bike;standard;central;rainy;59.6;20.84;25/08/2024;7;no;delivered;4;360.52
229;DLV-00229;fedex;fragile items;bike;express;east;hot;225.4;22.3;18/07/2024;5;no;delivered;5;1243.9
